iter	Logloss
0	0.6494073486
1	0.6165043945
2	0.5805471191
3	0.5522596436
4	0.5274586182
5	0.5050648804
6	0.4848833008
7	0.4674089966
8	0.4528623047
9	0.4379237061
10	0.4293458252
11	0.4190222778
12	0.4106039429
13	0.4042180176
14	0.3972883911
15	0.390089386
16	0.3846327515
17	0.3801734314
18	0.3747227173
19	0.3701581421
20	0.3658717651
21	0.3632203369
22	0.3593487549
23	0.3567665405
24	0.3534598083
25	0.3509541321
26	0.3491039124
27	0.3469257202
28	0.3443615723
29	0.3414558716
30	0.3400932007
31	0.3378388367
32	0.3358397522
33	0.333756958
34	0.3327153015
35	0.3312148743
36	0.3302261963
37	0.3286488647
38	0.3271309814
39	0.3261802673
40	0.3258702698
41	0.3247686768
42	0.3234322205
43	0.3217895203
44	0.3207450256
45	0.3201585999
46	0.3189684753
47	0.3182312622
48	0.3172163391
49	0.3162233887
50	0.3154408875
51	0.3141304016
52	0.3134040527
53	0.3126498108
54	0.3116919556
55	0.3110569458
56	0.3101525269
57	0.3094258728
58	0.3086374817
59	0.3080575562
60	0.3076835327
61	0.3070979309
62	0.3059875488
63	0.3050834961
64	0.3046127319
65	0.30425354
66	0.3036355591
67	0.3031912231
68	0.3027720337
69	0.3019938965
70	0.3014016724
71	0.3008460693
72	0.3003959045
73	0.2995479736
74	0.2988709412
75	0.2984907532
76	0.2979677124
77	0.2976317139
78	0.2972151489
79	0.2966426697
80	0.2959575806
81	0.2955928955
82	0.2948049622
83	0.2937670898
84	0.2927052612
85	0.2919152527
86	0.2910604858
87	0.2907088623
88	0.2901992187
89	0.2893000488
90	0.2888648376
91	0.2883360291
92	0.2878112488
93	0.2873802795
94	0.2869203796
95	0.2864258423
96	0.2857290649
97	0.2851078491
98	0.2846879578
99	0.2840948486
100	0.2836890259
101	0.2829903564
102	0.2823536377
103	0.2820637817
104	0.2810333557
105	0.2802841492
106	0.2799321594
107	0.2793849182
108	0.2788473206
109	0.2785412598
110	0.2780047607
111	0.2774046936
112	0.2770953369
113	0.2764116211
114	0.2760993958
115	0.2758343811
116	0.2751856384
117	0.2744284363
118	0.2739429321
119	0.2739193115
120	0.2739122314
121	0.2734170532
122	0.2725955811
123	0.2720692139
124	0.2718522644
125	0.2713920898
126	0.2708338013
127	0.2705878601
128	0.2702902222
129	0.2698600464
130	0.2694761963
131	0.2689711914
132	0.2684730835
133	0.2678762207
134	0.2672869873
135	0.266454834
136	0.266155304
137	0.265687439
138	0.2652449646
139	0.2648054504
140	0.2642342224
141	0.2637304077
142	0.2633519897
143	0.2631633911
144	0.2626522827
145	0.2620576172
146	0.2617376099
147	0.261203186
148	0.2607208252
149	0.2600180664
150	0.2597613525
151	0.2594173889
152	0.2587299805
153	0.2584550171
154	0.257913208
155	0.2574921875
156	0.2565056152
157	0.2560657654
158	0.2553703156
159	0.255043808
160	0.2546941223
161	0.2542918701
162	0.2539113312
163	0.2536580811
164	0.2533169556
165	0.2529600067
166	0.2525686951
167	0.252402298
168	0.2520188904
169	0.2514660034
170	0.2509428711
171	0.2506544952
172	0.2503369751
173	0.2499652252
174	0.2499378662
175	0.2495803528
176	0.2491043396
177	0.2488464661
178	0.248231308
179	0.2476213531
180	0.2473607178
181	0.2470244446
182	0.2465111542
183	0.2461488037
184	0.2456268616
185	0.2452010803
186	0.2447050171
187	0.2442971497
188	0.2436744385
189	0.2429957581
190	0.2426867981
191	0.2423995972
192	0.242043457
193	0.2418182526
194	0.2413928375
195	0.2410821838
196	0.2407625427
197	0.240212265
198	0.2396800385
199	0.2392196655
200	0.238953476
201	0.2384006958
202	0.238152832
203	0.2378012085
204	0.2372995453
205	0.2368573761
206	0.2363112793
207	0.2360840454
208	0.2356974335
209	0.2354740753
210	0.2352444763
211	0.2347559357
212	0.2342598267
213	0.2338157654
214	0.2333825684
215	0.2330214233
216	0.2326083984
217	0.2323116455
218	0.2319423218
219	0.2315866394
220	0.2312588959
221	0.2309997406
222	0.2306738281
223	0.2302978516
224	0.2298635254
225	0.2294189453
226	0.2291417847
227	0.2287319489
228	0.2284364471
229	0.2280424805
230	0.227549408
231	0.2270177002
232	0.2265697937
233	0.2260983887
234	0.225846405
235	0.2255086365
236	0.2250169067
237	0.224706665
238	0.2245109253
239	0.2241972809
240	0.2238956909
241	0.2235933533
242	0.2232622375
243	0.2229856415
244	0.2226507568
245	0.2221467896
246	0.2218328552
247	0.2214629517
248	0.2212250824
249	0.2209640961
250	0.2205106049
251	0.2202226563
252	0.2198684998
253	0.2194424438
254	0.219167984
255	0.2186589661
256	0.2185681458
257	0.218296051
258	0.2180096893
259	0.2176338196
260	0.2172670288
261	0.2170373383
262	0.2165498352
263	0.2162835388
264	0.2158831177
265	0.2155813904
266	0.2151946106
267	0.2149000092
268	0.2145982971
269	0.21422995
270	0.2137683716
271	0.2133650208
272	0.2130858002
273	0.2128493958
274	0.2124280396
275	0.2121486816
276	0.2119224548
277	0.2116481934
278	0.21132724
279	0.2109880219
280	0.2106941071
281	0.2103244324
282	0.2098708801
283	0.2095918427
284	0.2093078308
285	0.2090383911
286	0.2087184448
287	0.2084562988
288	0.2082243958
289	0.2079469604
290	0.2075106812
291	0.2071913757
292	0.2069692993
293	0.2066364746
294	0.2063793182
295	0.2059963989
296	0.2057160034
297	0.2055474854
298	0.2053115692
299	0.2050151215
300	0.2047351379
301	0.2045205688
302	0.2042968445
303	0.2040625
304	0.2037079468
305	0.2033285522
306	0.203046051
307	0.2026826172
308	0.2024760284
