iter	Passed	Remaining
0	159	63463
1	164	32649
2	169	22385
3	174	17237
4	178	14108
5	183	12031
6	187	10549
7	192	9438
8	197	8588
9	202	7900
10	206	7295
11	210	6814
12	215	6414
13	220	6080
14	225	5775
15	229	5519
16	234	5279
17	239	5074
18	243	4880
19	248	4712
20	252	4557
21	257	4422
22	262	4307
23	267	4184
24	271	4073
25	276	3976
26	279	3867
27	284	3778
28	289	3698
29	293	3620
30	297	3546
31	302	3476
32	306	3411
33	311	3351
34	316	3298
35	321	3245
36	325	3193
37	329	3143
38	334	3097
39	339	3052
40	341	2991
41	346	2950
42	351	2914
43	355	2875
44	360	2840
45	364	2802
46	368	2769
47	373	2738
48	377	2706
49	382	2675
50	386	2643
51	390	2613
52	394	2584
53	399	2559
54	403	2532
55	408	2506
56	412	2479
57	416	2457
58	421	2435
59	425	2412
60	429	2389
61	433	2365
62	438	2345
63	443	2326
64	447	2307
65	452	2289
66	457	2272
67	461	2254
68	465	2234
69	469	2214
70	474	2197
71	478	2180
72	484	2170
73	488	2153
74	493	2138
75	498	2123
76	503	2109
77	507	2095
78	512	2081
79	516	2066
80	520	2051
81	525	2036
82	529	2021
83	533	2006
84	537	1993
85	542	1980
86	546	1967
87	551	1956
88	556	1945
89	561	1933
90	565	1921
91	570	1909
92	575	1899
93	579	1887
94	584	1876
95	589	1866
96	594	1856
97	599	1847
98	604	1838
99	609	1827
100	613	1816
101	617	1805
102	622	1794
103	626	1783
104	630	1772
105	634	1761
106	640	1753
107	645	1745
108	650	1735
109	654	1726
110	659	1716
111	663	1706
112	667	1695
113	671	1685
114	676	1676
115	681	1667
116	686	1660
117	690	1651
118	695	1643
119	697	1628
120	699	1613
121	705	1607
122	710	1599
123	715	1591
124	719	1583
125	724	1576
126	729	1568
127	734	1561
128	739	1553
129	744	1546
130	749	1538
131	753	1530
132	758	1522
133	762	1514
134	767	1507
135	772	1500
136	777	1492
137	782	1484
138	786	1477
139	791	1469
140	796	1462
141	800	1454
142	805	1447
143	809	1439
144	814	1431
145	818	1424
146	823	1417
147	828	1410
148	833	1403
149	838	1397
150	843	1390
151	847	1383
152	852	1376
153	857	1369
154	862	1362
155	866	1355
156	871	1348
157	875	1340
158	880	1333
159	884	1326
160	889	1319
161	893	1313
162	898	1306
163	902	1299
164	907	1292
165	911	1285
166	916	1279
167	921	1272
168	926	1265
169	930	1258
170	934	1251
171	939	1245
172	943	1238
173	948	1231
174	950	1221
175	954	1215
176	959	1208
177	963	1202
178	968	1195
179	973	1189
180	977	1183
181	982	1177
182	987	1170
183	991	1164
184	996	1158
185	1002	1152
186	1006	1146
187	1012	1141
188	1017	1135
189	1022	1129
190	1026	1123
191	1031	1117
192	1036	1111
193	1041	1105
194	1046	1099
195	1051	1094
196	1055	1087
197	1059	1081
198	1064	1075
199	1069	1069
200	1073	1063
201	1078	1057
202	1082	1050
203	1087	1044
204	1091	1038
205	1096	1032
206	1100	1025
207	1104	1019
208	1109	1013
209	1114	1007
210	1119	1002
211	1123	996
212	1128	990
213	1133	985
214	1137	979
215	1142	973
216	1147	967
217	1152	961
218	1156	955
219	1161	950
220	1166	944
221	1170	938
222	1175	932
223	1179	927
224	1184	921
225	1189	915
226	1194	910
227	1198	904
228	1203	898
229	1209	893
230	1213	887
231	1217	881
232	1222	876
233	1227	870
234	1232	865
235	1236	859
236	1241	853
237	1246	848
238	1250	842
239	1255	836
240	1260	831
241	1264	825
242	1269	820
243	1274	814
244	1278	808
245	1283	803
246	1288	798
247	1294	793
248	1300	788
249	1305	783
250	1311	778
251	1317	773
252	1322	768
253	1328	763
254	1333	758
255	1338	753
256	1344	747
257	1349	742
258	1355	737
259	1361	733
260	1367	728
261	1374	723
262	1379	718
263	1385	713
264	1391	708
265	1397	703
266	1403	699
267	1409	694
268	1414	689
269	1420	684
270	1426	679
271	1432	674
272	1437	668
273	1442	663
274	1447	658
275	1453	653
276	1459	647
277	1464	642
278	1470	637
279	1475	632
280	1481	627
281	1486	622
282	1492	616
283	1497	611
284	1503	606
285	1509	601
286	1515	596
287	1521	591
288	1526	586
289	1532	581
290	1538	576
291	1544	571
292	1549	565
293	1554	560
294	1560	555
295	1565	550
296	1570	544
297	1576	539
298	1581	534
299	1586	528
300	1592	523
301	1597	518
302	1603	513
303	1608	508
304	1613	502
305	1619	497
306	1625	492
307	1631	487
308	1637	482
309	1642	476
310	1647	471
311	1653	466
312	1659	461
313	1665	456
314	1670	450
315	1676	445
316	1681	440
317	1687	435
318	1692	429
319	1697	424
320	1702	419
321	1708	413
322	1713	408
323	1719	403
324	1725	398
325	1732	393
326	1737	387
327	1743	382
328	1749	377
329	1754	372
330	1760	366
331	1766	361
332	1772	356
333	1778	351
334	1785	346
335	1791	341
336	1797	336
337	1803	330
338	1809	325
339	1815	320
340	1821	315
341	1827	309
342	1832	304
343	1837	299
344	1843	293
345	1849	288
346	1855	283
347	1861	278
348	1867	272
349	1873	267
350	1878	262
351	1884	256
352	1890	251
353	1896	246
354	1902	241
355	1907	235
356	1913	230
357	1918	225
358	1924	219
359	1930	214
360	1935	209
361	1941	203
362	1946	198
363	1952	193
364	1958	187
365	1963	182
366	1969	177
367	1974	171
368	1979	166
369	1985	160
370	1990	155
371	1996	150
372	2002	144
373	2008	139
374	2013	134
375	2019	128
376	2025	123
377	2030	118
378	2036	112
379	2041	107
380	2047	102
381	2053	96
382	2059	91
383	2064	86
384	2070	80
385	2077	75
386	2082	69
387	2088	64
388	2094	59
389	2100	53
390	2106	48
391	2112	43
392	2118	37
393	2124	32
394	2130	26
395	2136	21
396	2142	16
397	2148	10
398	2154	5
399	2160	0
